Vendor County Code,Vendor County,Obligation Year and Month,Number of Families Redeemed,Number of Food Instruments Redeemed,Dollar Amount of Food Instruments,Average Cost per Family,Statewide Infant Formula Rebate,Total Cost Adjusted,Average Cost Adjusted
0,Statewide,2010,1289876,59329338,"$1,054,621,338.02 ",$817.61 ,"$221,543,339.00 ","$833,077,999.02 ",$645.86 
0,Statewide,201001,921221,5157699,"$87,923,969.41 ",$95.44 ,"$18,478,922.00 ","$69,445,047.41 ",$75.38 
0,Statewide,201002,906879,5079098,"$86,186,762.39 ",$95.04 ,"$17,058,350.00 ","$69,128,412.39 ",$76.23 
0,Statewide,201003,931018,5195345,"$87,976,963.59 ",$94.50 ,"$19,091,175.00 ","$68,885,788.59 ",$73.99 
0,Statewide,201004,935205,5066120,"$88,474,648.05 ",$94.60 ,"$19,284,028.00 ","$69,190,620.05 ",$73.98 
0,Statewide,201005,921523,4847586,"$86,958,537.51 ",$94.36 ,"$17,049,622.00 ","$69,908,915.51 ",$75.86 
0,Statewide,201006,932918,4886201,"$88,116,261.44 ",$94.45 ,"$19,076,756.00 ","$69,039,505.44 ",$74.00 
0,Statewide,201007,935686,4886149,"$87,946,909.28 ",$93.99 ,"$18,078,922.00 ","$69,867,987.28 ",$74.67 
0,Statewide,201008,937744,4895327,"$88,388,928.01 ",$94.26 ,"$18,726,589.00 ","$69,662,339.01 ",$74.29 
0,Statewide,201009,937945,4915948,"$88,932,047.38 ",$94.82 ,"$18,657,094.00 ","$70,274,953.38 ",$74.92 
0,Statewide,201010,924395,4813065,"$87,732,481.39 ",$94.91 ,"$17,919,414.00 ","$69,813,067.39 ",$75.52 
0,Statewide,201011,917106,4800689,"$87,998,220.67 ",$95.95 ,"$18,594,236.00 ","$69,403,984.67 ",$75.68 
0,Statewide,201012,915427,4786111,"$87,985,608.90 ",$96.11 ,"$19,528,231.00 ","$68,457,377.90 ",$74.78 
0,Statewide,2011,1286729,58744704,"$1,119,417,142.73 ",$869.97 ,"$226,273,012.00 ","$893,144,130.73 ",$694.12 
0,Statewide,201101,930110,4876071,"$89,538,158.33 ",$96.27 ,"$18,337,964.00 ","$71,200,194.33 ",$76.55 
0,Statewide,201102,907432,4767932,"$87,962,167.75 ",$96.94 ,"$17,099,993.00 ","$70,862,174.75 ",$78.09 
0,Statewide,201103,930505,4882910,"$90,743,812.27 ",$97.52 ,"$19,619,695.00 ","$71,124,117.27 ",$76.44 
0,Statewide,201104,927624,4891990,"$91,930,476.63 ",$99.10 ,"$18,548,356.00 ","$73,382,120.63 ",$79.11 
0,Statewide,201105,929956,4892244,"$92,486,202.20 ",$99.45 ,"$18,331,915.00 ","$74,154,287.20 ",$79.74 
0,Statewide,201106,942760,4975599,"$94,469,531.73 ",$100.21 ,"$19,309,808.00 ","$75,159,723.73 ",$79.72 
0,Statewide,201107,937618,4937055,"$95,012,045.95 ",$101.33 ,"$17,721,557.00 ","$77,290,488.95 ",$82.43 
0,Statewide,201108,953012,5004547,"$97,420,509.14 ",$102.22 ,"$20,621,711.00 ","$76,798,798.14 ",$80.59 
0,Statewide,201109,946633,4982563,"$97,521,530.28 ",$103.02 ,"$19,366,492.00 ","$78,155,038.28 ",$82.56 
0,Statewide,201110,932063,4872985,"$95,120,666.16 ",$102.05 ,"$18,812,901.00 ","$76,307,765.16 ",$81.87 
0,Statewide,201111,924131,4838825,"$93,933,146.69 ",$101.64 ,"$19,353,384.00 ","$74,579,762.69 ",$80.70 
0,Statewide,201112,922636,4821983,"$93,278,895.60 ",$101.10 ,"$19,149,236.00 ","$74,129,659.60 ",$80.35 
0,Statewide,2012,1275333,58407743,"$1,077,639,145.46 ",$844.99 ,"$234,490,598.00 ","$843,148,547.46 ",$661.12 
0,Statewide,201201,932903,4887884,"$94,370,785.86 ",$101.16 ,"$19,523,310.00 ","$74,847,475.86 ",$80.23 
0,Statewide,201202,922555,4830867,"$93,742,455.80 ",$101.61 ,"$18,080,255.00 ","$75,662,200.80 ",$82.01 
0,Statewide,201203,940863,4902128,"$94,768,745.45 ",$100.73 ,"$19,179,280.00 ","$75,589,465.45 ",$80.34 
0,Statewide,201204,944423,4938696,"$94,704,633.23 ",$100.28 ,"$18,379,241.00 ","$76,325,392.23 ",$80.82 
0,Statewide,201205,950779,4953581,"$91,652,315.58 ",$96.40 ,"$19,667,790.00 ","$71,984,525.58 ",$75.71 
0,Statewide,201206,948048,4959268,"$87,753,225.50 ",$92.56 ,"$19,218,133.00 ","$68,535,092.50 ",$72.29 
0,Statewide,201207,945044,4932865,"$87,484,834.89 ",$92.57 ,"$19,932,179.00 ","$67,552,655.89 ",$71.48 
0,Statewide,201208,953070,4950678,"$87,909,276.24 ",$92.24 ,"$20,519,196.00 ","$67,390,080.24 ",$70.71 
0,Statewide,201209,930458,4847505,"$86,518,507.90 ",$92.98 ,"$18,901,956.00 ","$67,616,551.90 ",$72.67 
0,Statewide,201210,935086,4827379,"$86,993,170.28 ",$93.03 ,"$21,524,813.00 ","$65,468,357.28 ",$70.01 
0,Statewide,201211,921526,4762729,"$86,819,306.06 ",$94.21 ,"$19,868,040.00 ","$66,951,266.06 ",$72.65 
