Vendor County Code,Vendor County,Obligation Year and Month,Number of Families Redeemed,Number of Food Instruments Redeemed,Dollar Amount of Food Instruments,Number of EBT Transactions,Dollar Amount of EBT Transactions,Average Cost per Family,Statewide Infant Formula Rebate,Total Cost Adjusted,Average Cost Adjusted
0,Statewide,2019,852720,31708833,"$649,566,563.58 ",1228507,"$42,648,675.07 ",$811.77 ,"$214,555,815.56 ","$477,659,423.09 ",$560.16 
0,Statewide,201901,585256,2954497,"$60,242,595.22 ",,,$102.93 ,"$19,832,012.61 ","$40,410,582.61 ",$69.05 
0,Statewide,201902,579383,2928131,"$59,737,707.98 ",,,$103.11 ,"$17,134,898.26 ","$42,602,809.72 ",$73.53 
0,Statewide,201903,572695,2872747,"$58,808,020.23 ",,,$102.69 ,"$17,669,127.22 ","$41,138,893.01 ",$71.83 
0,Statewide,201904,570971,2885774,"$58,910,279.55 ",,,$103.18 ,"$18,128,406.25 ","$40,781,873.30 ",$71.43 
0,Statewide,201905,573605,2883560,"$58,939,227.20 ",,,$102.75 ,"$18,975,100.67 ","$39,964,126.53 ",$69.67 
0,Statewide,201906,567411,2857151,"$58,271,223.61 ",7065,"$225,905.88 ",$103.09 ,"$16,920,094.61 ","$41,577,034.88 ",$73.27 
0,Statewide,201907,572716,2867842,"$58,472,314.79 ",11976,"$391,966.69 ",$102.78 ,"$18,533,699.71 ","$40,330,581.77 ",$70.42 
0,Statewide,201908,567973,2816504,"$57,559,894.33 ",14873,"$484,969.53 ",$102.20 ,"$17,819,021.64 ","$40,225,842.22 ",$70.82 
0,Statewide,201909,552359,2627301,"$53,787,042.18 ",95450,"$3,272,204.39 ",$103.30 ,"$16,811,283.27 ","$40,247,963.30 ",$72.87 
0,Statewide,201910,542335,2330214,"$48,156,585.29 ",231420,"$7,808,209.83 ",$103.19 ,"$18,658,903.49 ","$37,305,891.63 ",$68.79 
0,Statewide,201911,518240,2005505,"$41,716,414.15 ",351696,"$12,272,848.55 ",$104.18 ,"$15,970,698.40 ","$38,018,564.30 ",$73.36 
0,Statewide,201912,501112,1679607,"$34,965,259.05 ",516027,"$18,192,570.20 ",$106.08 ,"$18,102,569.43 ","$35,055,259.82 ",$69.95 
0,Statewide,2020,763390,3520350,"$73,240,572.73 ",14944127,"$595,796,309.04 ",$876.40 ,"$205,737,686.96 ","$463,299,194.81 ",$606.90 
0,Statewide,202001,519486,1451127,"$30,058,597.81 ",738836,"$25,493,708.42 ",$106.94 ,"$18,127,140.58 ","$37,425,165.65 ",$72.04 
0,Statewide,202002,504146,1082134,"$22,485,744.02 ",897601,"$31,732,730.97 ",$107.55 ,"$16,254,166.58 ","$37,964,308.41 ",$75.30 
0,Statewide,202003,511662,664007,"$13,892,400.06 ",1098072,"$42,014,709.08 ",$109.27 ,"$17,920,228.79 ","$37,986,880.35 ",$74.24 
0,Statewide,202004,520519,256709,"$5,423,402.81 ",1197203,"$50,635,652.22 ",$107.70 ,"$16,377,358.94 ","$39,681,696.09 ",$76.23 
