Vendor County Code,Vendor County,Obligation Year and Month,Number of Families Redeemed,Number of EBT Transactions,Dollar Amount of EBT Transactions,Average Cost per Family,Statewide Infant Formula Rebate,Total Cost Adjusted,Average Cost Adjusted
0,Statewide,2021,763422,18138989,"$730,343,291.12 ",$956.67 ,"$195,078,184.18 ","$535,265,106.94 ",$701.14 
0,Statewide,202101,550156,1391413,"$56,101,403.97 ",$101.97 ,"$17,097,830.72 ","$39,003,573.26 ",$70.90 
0,Statewide,202102,537164,1288757,"$53,880,972.70 ",$100.31 ,"$15,342,969.80 ","$38,538,002.90 ",$71.74 
0,Statewide,202103,536200,1292066,"$53,821,712.73 ",$100.38 ,"$17,620,762.93 ","$36,200,949.80 ",$67.51 
0,Statewide,202104,531643,1273326,"$53,104,450.07 ",$99.89 ,"$16,169,495.21 ","$36,934,954.86 ",$69.47 
0,Statewide,202105,533056,1323753,"$52,851,696.62 ",$99.15 ,"$16,347,118.65 ","$36,504,577.97 ",$68.48 
0,Statewide,202106,548736,1671662,"$66,867,171.54 ",$121.86 ,"$16,128,393.53 ","$50,738,778.01 ",$92.46 
0,Statewide,202107,550092,1698088,"$67,293,579.37 ",$122.33 ,"$16,402,757.40 ","$50,890,821.97 ",$92.51 
0,Statewide,202108,557164,1735761,"$67,882,746.87 ",$121.84 ,"$16,133,188.05 ","$51,749,558.82 ",$92.88 
0,Statewide,202109,557569,1732128,"$68,290,261.87 ",$122.48 ,"$15,701,000.20 ","$52,589,261.67 ",$94.32 
0,Statewide,202110,549048,1630008,"$63,992,134.64 ",$116.55 ,"$16,360,760.23 ","$47,631,374.41 ",$86.75 
0,Statewide,202111,534626,1539948,"$62,502,064.41 ",$116.91 ,"$15,397,502.04 ","$47,104,562.38 ",$88.11 
0,Statewide,202112,535641,1562079,"$63,755,096.33 ",$119.03 ,"$16,376,405.44 ","$47,378,690.90 ",$88.45 
1,Alameda,2021,24152,415571,"$20,937,474.85 ",$866.90 ,,,
1,Alameda,202101,14499,32049,"$1,639,237.02 ",$113.06 ,,,
1,Alameda,202102,14071,29645,"$1,586,100.77 ",$112.72 ,,,
1,Alameda,202103,14079,30027,"$1,588,445.78 ",$112.82 ,,,
1,Alameda,202104,13817,29238,"$1,531,776.27 ",$110.86 ,,,
1,Alameda,202105,14230,30790,"$1,564,635.39 ",$109.95 ,,,
1,Alameda,202106,14711,38278,"$1,899,853.93 ",$129.15 ,,,
1,Alameda,202107,14742,38763,"$1,901,955.87 ",$129.02 ,,,
1,Alameda,202108,14834,39671,"$1,924,648.48 ",$129.75 ,,,
1,Alameda,202109,14787,38974,"$1,917,589.94 ",$129.68 ,,,
1,Alameda,202110,14681,37493,"$1,816,643.42 ",$123.74 ,,,
1,Alameda,202111,14268,35256,"$1,761,268.40 ",$123.44 ,,,
1,Alameda,202112,14241,35387,"$1,805,319.58 ",$126.77 ,,,
3,Amador,2021,795,11905,"$351,582.37 ",$442.24 ,,,
3,Amador,202101,349,847,"$24,635.81 ",$70.59 ,,,
3,Amador,202102,355,808,"$24,295.57 ",$68.44 ,,,
3,Amador,202103,340,821,"$22,408.51 ",$65.91 ,,,
3,Amador,202104,337,773,"$22,731.20 ",$67.45 ,,,
3,Amador,202105,356,899,"$24,460.24 ",$68.71 ,,,
3,Amador,202106,391,1125,"$34,174.56 ",$87.40 ,,,
3,Amador,202107,365,1088,"$32,685.26 ",$89.55 ,,,
3,Amador,202108,359,1127,"$32,959.45 ",$91.81 ,,,
3,Amador,202109,392,1208,"$36,955.65 ",$94.27 ,,,
3,Amador,202110,374,1126,"$31,958.27 ",$85.45 ,,,
3,Amador,202111,377,1017,"$31,562.78 ",$83.72 ,,,
3,Amador,202112,361,1066,"$32,755.07 ",$90.73 ,,,
4,Butte,2021,5188,84587,"$3,006,750.64 ",$579.56 ,,,
4,Butte,202101,2706,6461,"$226,703.28 ",$83.78 ,,,
