
VENDOR                                                                                                                                                                                                    ,ADDRESS                                                                                                        ,SECOND ADDRESS                                              ,CITY                                                        ,ZIP  ,COUNTY                                                      ,LATITUDE               ,LONGITUDE
"SAVE MART #609"                                                                                                                                                                                          ,11980 Highway 88                                                                                               ,                                                            ,Jackson                                                     ,95642,Amador                                                      , 38.3625740            ,-120.8016510
"FOOD MAXX #475"                                                                                                                                                                                          ,2051 Dr. Martin L. King Jr Parkway                                                                             ,                                                            ,Chico                                                       ,95928,Butte                                                       ,39.70313               ,-121.8335
"FOOD MAXX #474"                                                                                                                                                                                          ,1160 Oroville Dam Blvd                                                                                         ,                                                            ,Oroville                                                    ,95965,Butte                                                       , 39.5026380            ,-121.5612130
"SAVE MART #602"                                                                                                                                                                                          ,146 W East Ave                                                                                                 ,                                                            ,Chico                                                       ,95926,Butte                                                       , 39.7561750            ,-121.8624230
"SAVE MART #613"                                                                                                                                                                                          ,6636 Clark Rd                                                                                                  ,                                                            ,Paradise                                                    ,95969,Butte                                                       , 39.7765750            ,-121.5896200
"SAVE MART #046"                                                                                                                                                                                          ,260 S Main St                                                                                                  ,                                                            ,Angels Camp                                                 ,95222,Calaveras                                                   , 38.0799620            ,-120.5552860
"SAVE MART #614"                                                                                                                                                                                          ,1270 BROADWAY                                                                                                  ,                                                            ,Placerville                                                 ,95667,El Dorado                                                   , 38.7309330            ,-120.7846150
"SAVE MART #615"                                                                                                                                                                                          ,3966 Missouri Flat Rd Ste A                                                                                    ,                                                            ,Placerville                                                 ,95667,El Dorado                                                   , 38.7122580            ,-120.8410990
"SAVE MART #027"                                                                                                                                                                                          ,1580 E Manning Ave                                                                                             ,                                                            ,Reedley                                                     ,93654,Fresno                                                      , 36.6058120            ,-119.4320860
"SAVE MART #019"                                                                                                                                                                                          ,4041 E Ashlan Ave                                                                                              ,                                                            ,Fresno                                                      ,93726,Fresno                                                      , 36.7950790            ,-119.7565380
"SAVE MART #054"                                                                                                                                                                                          ,2066 W Bullard Ave                                                                                             ,                                                            ,Fresno                                                      ,93711,Fresno                                                      , 36.8229570            ,-119.8284930
"SAVE MART #052"                                                                                                                                                                                          ,2179 Shaw Ave                                                                                                  ,                                                            ,Clovis                                                      ,93611,Fresno                                                      , 36.8099280            ,-119.6737280
"SAVE MART #065"                                                                                                                                                                                          ,7075 N Marks Ave                                                                                               ,                                                            ,Fresno                                                      ,93711,Fresno                                                      , 36.8384020            ,-119.8489780
"FOOD MAXX #403"                                                                                                                                                                                          ,3241 W Shaw Ave                                                                                                ,                                                            ,Fresno                                                      ,93711,Fresno                                                      , 36.8068480            ,-119.8499610
"SAVE MART #071"                                                                                                                                                                                          ,659 E Nees Ave                                                                                                 ,                                                            ,Fresno                                                      ,93720,Fresno                                                      , 36.8509450            ,-119.7735780
